SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	IgnoreSilence	LongRange	BelongDynamicGroupID	IsTherapy	CanKeepHoard	CanCastWithHoard	CanAddMaxRadius	KillRushCanCastMode	MinSelectTargetCount	MaxSelectTargetCount
藏剑阵法第四重阵眼获得剑气	1874	测试技能	直接伤害技能	1	None	Normal	3	10161	6	TargetLeader	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	0	0	1	1	0	0	0	1	0	Any	1	0	0	Invalid	0	None	阵法\藏剑阵法第四重阵眼获得剑气.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑阵法第六重阵眼获得暴击率	1875	测试技能	直接伤害技能	1	None	Normal	3	10161	6	TargetLeader	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	0	0	1	1	0	0	0	1	0	Any	1	0	0	Invalid	0	None	阵法\藏剑阵发第六重阵眼获得暴击率.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
橙武_易筋经_韦陀献杵回豆	1876	测试技能	直接伤害技能	1	SolarMagic	Normal	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	item\橙武_易筋经_韦陀献杵回豆.lua		Neutral	0	0	0	16638	1006649598	0	8	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑阵法第五重阵体获得移动速度	1877	测试技能	直接伤害技能	1	None	Normal	3	10161	6	PartyArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	NotHorse	1	0	0	1	1	0	0	0	1	0	Any	1	0	0	Invalid	0	None	阵法\藏剑阵法第五重阵体获得移动速度.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑阵法buff	1878	测试技能	直接伤害技能	1	None	Normal	3	10161	6	PartyArea	0	0	Invalid	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Any	1	0	0	1	1	0	0	0	1	0	Any	1	0	0	Invalid	0	None	阵法\藏剑阵法buff.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
问水诀_重置泉凝月	1879	测试技能	直接伤害技能	1	Physics	Normal	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	item\橙武_问水诀_重置泉凝月.lua		Beneficial	0	0	0	16638	1006649598	0	40	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
山居剑意_重置雪断桥	1880	测试技能	直接伤害技能	1	Physics	Normal	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	item\橙武_山居剑意_重置雪断桥.lua		Beneficial	0	0	0	16638	1006649598	0	40	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
问水诀_加buff	1881	测试技能	直接伤害技能	3	None	Normal	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	item\橙武_问水诀_加buff.lua		Neutral	0	0	0	4095742	1010728702	0	8	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
山居剑意_加buff	1882	测试技能	直接伤害技能	3	None	Normal	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	item\橙武_山居剑意_加buff.lua		Neutral	0	0	0	4095742	1010728702	0	8	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
橙武_问水诀_两次断潮	1883	测试技能	直接伤害技能	1	Physics	Damage	2	10160	16	TargetSingle	9	0	Invalid	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Melee	1	AniAndSfx	item\橙武_问水诀_两次断潮.lua		Harmful	0	0	0	4095998	1010728958	1651	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
橙武_山居剑意_重置云飞玉皇	1884	测试技能	直接伤害技能	1	Physics	Stun	2	10160	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16384	0	0	0	1	0	1	0	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	item\橙武_山居剑意_重置云飞玉皇.lua		Harmful	0	0	0	4095742	1010728702	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
新手镇_藏剑技能演示_梦泉虎跑	1885	测试技能	直接伤害技能	31	None	Normal	2	10162	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	0	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\新手镇表现\新手镇_藏剑技能演示_梦泉虎跑.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
气纯50级内功效果_八卦洞玄_打断施法	1886	测试技能	直接伤害技能	1	NeutralMagic	Silence	1	10037	3	TargetSingle	0	0	Invalid	0	3	10014	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	纯阳\纯阳_八卦洞玄_成功打断事件.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
吐故纳新_被外功击15%锁足	1887	测试技能	直接伤害技能	1	NeutralMagic	Charm	1	10037	3	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	纯阳\吐故纳新_被外功击15%锁足.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
梯云纵_非战斗状态	1888	测试技能	轻功	6	Leap	Fly	1	10037	3	CasterSingle	0	0	Invalid	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	1	1	0	NotHorse	1	1	0	1	0	0	0	0	0	0	Any	1	0	0		0	None	纯阳\梯云纵_非战斗状态.lua		Beneficial				142	1006633102	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	4	0	0	0												
梯云纵_战斗状态	1889	测试技能	轻功	6	Leap	Fly	1	10037	3	CasterSingle	0	0	Invalid	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	1	0	0	NotHorse	1	1	0	1	0	0	0	0	0	0	Any	1	0	0		0	None	纯阳\梯云纵_战斗状态.lua		Beneficial				142	1006633102	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	4	0	0	0												
舍身诀_对怪	1890	测试技能	直接伤害技能	1	None	Normal	1	10001	5	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	少林\舍身诀_对怪.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
舍身诀_对队友	1891	测试技能	直接伤害技能	1	SolarMagic	Normal	1	10001	5	TargetSingle	1	0	Invalid	0	5	0	0	0	0	0	1	1	0	0	0	0	0	1	8721	0	0	0	1	0	0	1	0	0	NotHorse	1	0	1	0	1	0	1	1	1	0	Any	1	0	0	Invalid	0	SfxOnly	少林\少林_达摩武诀_舍身诀.lua		Beneficial	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
剑冢_3号boss_叶琦菲_烈焰朱明_子技能	1892	测试技能	直接伤害技能	31	Physics	Normal	2	10156	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	520	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\剑冢\剑冢_3号boss_叶琦菲_烈焰朱明_子技能.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
舍身诀_子技能失败后清自身CD	1893	测试技能	直接伤害技能	1	SolarMagic	Normal	1	10001	5	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	少林\舍身诀_子技能失败后清自身CD.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_快剑20级内功_听雷加15剑气	1894	测试技能	直接伤害技能	2	Physics	Normal	1	10151	6	CasterSingle	0	0	Invalid	0	6	10144	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	藏剑\藏剑_快剑20级内功_听雷加15剑气.lua		Beneficial	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
九音陀罗曲·刚震·子技能	1895	测试技能	直接伤害技能	31	Physics	Stun	2	10159	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\九音陀罗曲·刚震·子技能.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
天国镇魂曲	1896	测试技能	直接伤害技能	31	Physics	Normal	2	10159	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	593	0	0	0	0	0	1	1	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\天国镇魂曲.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
藏剑醉月加5剑气	1897	测试技能	直接伤害技能	1	Physics	Normal	2	10126	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	装备\藏剑醉月加5剑气.lua		Beneficial	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑醉月加10剑气	1898	测试技能	直接伤害技能	1	Physics	Normal	2	10126	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	装备\藏剑醉月加10剑气.lua		Beneficial	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
25人天王殿_天绝华散曲·白露·魂散	1899	测试技能	直接伤害技能	31	None	Normal	2	10159	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\25人天王殿_天绝华散曲·白露·魂散.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
25人天王殿_天绝华散曲·碧海·魂散	1900	测试技能	直接伤害技能	31	None	Normal	2	10159	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\25人天王殿_天绝华散曲·碧海·魂散.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
25人天王殿_天绝华散曲·朱云·魂散	1901	测试技能	直接伤害技能	31	None	Normal	2	10159	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\25人天王殿_天绝华散曲·朱云·魂散.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
25人天王殿_天绝华散曲·黑洞·魂散	1902	测试技能	直接伤害技能	31	None	Normal	2	10159	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人天王殿\25人天王殿_天绝华散曲·黑洞·魂散.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
藏剑_君子风_子技能_问水诀_啸日_切换武器	1903	测试技能	直接伤害技能	1	Physics	Normal	1	10151	6	CasterSingle	0	0	Invalid	0	6	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	藏剑\藏剑_君子风_子技能_问水诀_啸日_切换武器.lua		Neutral	0	0	0	4128510	1010761470	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_君子风_子技能_山居剑意_啸日_切换武器	1904	测试技能	直接伤害技能	1	Physics	Normal	1	10151	6	CasterSingle	0	0	Invalid	0	6	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	藏剑\藏剑_君子风_子技能_山居剑意_啸日_切换武器.lua		Neutral	0	0	0	4128510	1010761470	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_风吴来山_伤害	1905	测试技能	直接伤害技能	6	Physics	Damage	1	10151	6	CasterArea	8	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	7	65536	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	藏剑\藏剑_灵峰剑式_风来吴山_伤害.lua		Harmful	0	0	0	4095998	1010728958	1645	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	1	0												
T0套装藏剑外功伤害招式加AP	1906	测试技能	直接伤害技能	1	Physics	Normal	2	10134	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8705	0	0	0	0	0	0	1	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	装备\藏剑外功伤害招式加AP.lua		Beneficial	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑外功增加会心buff	1907	测试技能	直接伤害技能	9	Physics	Normal	2	10135	16	CasterSingle	0	0	Invalid	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	装备\T系列增加会心buff.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_灵峰剑式_打断技能动作用子技能	1908	测试技能	直接伤害技能	1	Physics	Normal	1	10151	6	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	None	藏剑\藏剑_灵峰剑式_子技能_打断风来吴山动作.lua		Beneficial	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_重剑50级_摘星打断附加眩晕	1909	测试技能	直接伤害技能	1	Physics	Normal	1	10151	6	TargetSingle	0	0	Invalid	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	16384	65536	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	藏剑\藏剑_重剑50级_摘星打断附加眩晕.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0												
藏剑_20级内功_灵峰剑式不耗剑气驱散	1910	测试技能	直接伤害技能	1	Physics	Normal	1	10151	6	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	藏剑\藏剑_20级内功_灵峰剑式不耗剑气驱散.lua		Beneficial	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
百草园_推球	1911	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	Sector	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_推球.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
百草园_长传	1912	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	Sector	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_长传.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
百草园_抽射	1913	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	Sector	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_抽射.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
百草园_海纳百川	1914	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_海纳百川.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
百草园_小惩大诫	1915	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NotHorse	1	0	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_小惩大诫.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
百草园_惩前毖后	1916	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NotHorse	1	0	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_惩前毖后.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
百草园_无所遁形	1917	测试技能	直接伤害技能	1	Physics	Normal	2	10164	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NotHorse	1	0	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\百草园帮会副本\百草园_无所遁形.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
高老庄_土石爆炸	1918	测试技能	直接伤害技能	31	Physics	Normal	2	10155	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NotHorse	0	1	1	1	0	0	1	1	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\2人副本\高老庄_土石爆炸.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
播放错误范围提示特效用空技能	1919	测试技能	直接伤害技能	1	None	Normal	1	10058	11	PointArea	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	Default.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
藏剑_重剑30级内功效果_听雷减仇恨	1920	测试技能	直接伤害技能	1	Physics	Enmity	1	10151	6	CasterSingle	0	0	Invalid	0	6	10145	0	0	0	0	0	1	0	0	0	0	0	0	8192	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	SfxOnly	藏剑\藏剑_重剑30级内功效果_听雷减仇恨.lua		Beneficial	0	3	0	16638	1006649598	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0												
下棋_五子·疏星	1921	测试技能	直接伤害技能	3	Physics	Damage	2	10155	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	523	0	0	0	0	0	1	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\2人副本\下棋_五子·疏星.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
下棋_五子·金星	1922	测试技能	直接伤害技能	3	Physics	Damage	2	10155	12	TargetArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\2人副本\下棋_五子·金星.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
下棋_五子·寒星	1923	测试技能	直接伤害技能	3	Physics	Halt	2	10155	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16899	0	0	1	0	0	1	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\2人副本\下棋_五子·寒星.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
一闪·幻狼_母技能	1924	测试技能	直接伤害技能	31	Physics	Normal	2	10157	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	0	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\25人谢云流\一闪·幻狼_母技能.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0												
