门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
万花,花间游,9,守拙,受到控制时可以对8尺内敌对目标施展，唤出“阿甘贰型”，将敌方目标关入“阿甘贰型”体内。期间“阿甘贰型”不可移动，持续4秒。,28464,4
万花,花间游,9,丹鼎,“快雪时晴”不会被打退打断，期间免疫控制和封内效果(击退和被拉除外)，调息时间增加至25秒，伤害提高170%且额外附带2跳伤害。,24912,5
万花,花间游,10,丹青,“玉石俱焚”会在目标8尺区域产生墨池持续6秒，墨池每2秒浸染其中最多5个目标造成<SUB 32629 0>伤害并减速50%，若墨池浸染的目标有自身持续伤害，则对其造成该持续伤害的一跳伤害。同时画出雨墨雕，延迟1.5秒后对墨池内最多5个敌方目标造成<SUB 30648 0>混元伤害。,30650,1
万花,花间游,10,活络,“水月无间”变为两层充能招式，充能时间50秒。“水月无间”免控效果期间，使自身免疫缴械和无法运功效果的影响，且运功不会被打断。,37065,2
万花,花间游,10,连劫,施展4次“玉石俱焚”后可使用，甩出4颗棋子将目标围困，造成6秒“提子”效果，期间目标造成的伤害及治疗效果降低80%。,38595,3
万花,花间游,10,雪弃,“快雪时晴”每额外命中一个目标，伤害提高50%。,38850,4
万花,花间游,10,空山,“听风吹雪”可以对敌方侠士施展，运功1秒，将自身与敌方侠士当前气血值百分比互换，互换后目标气血值不会低于50%，调息时间1分钟。,24914,5
万花,花间游,11,墨海临源,“阳明指”“玉石俱焚”每命中5次可施展1次，最多可累计3层。施展后恢复20墨意，对目标造成无质混元伤害（无质伤害无法会心，但伤害受到会心、会心效果加成）并附带一段破招伤害。,37267,1
万花,花间游,11,故幽,“芙蓉并蒂”及其附带的刷新持续伤害会心几率提高15%，会心效果提高15%，持续效果期间目标受到伤害提高10%。,26669,2
万花,花间游,11,望月,“星楼月影”调息时间降低3秒，期间自身御劲提高5%，持续时间增加1秒。,14634,3
万花,花间游,11,轻鸿,“太阴指”变为2层充能技能，充能时间17秒，但无法被“春泥护花”重置调息时间。,18268,4
万花,花间游,11,乘墨由心,挥洒墨圈对自身周围6尺范围最多5个敌对侠士造成<SUB 24917 0>混元内功伤害，并沾染上墨滴，持续6秒。沾染上墨滴的目标施展招式命中目标几率降低80%。,24916,5
万花,花间游,12,涓流,施展伤害招式命中目标，使自身会心几率提高1.6%，会心效果提高1.6%，每次造成伤害时叠加一层，叠加至10层后重置。,14643,1
万花,花间游,12,翰墨永誓,“水月无间”释放后使自身获得5层“挥毫墨意”效果，加速提升15%。每次释放混元伤害技能将消耗一层并书写文字，当书写结束后将激活二段技能“翰墨永誓”：使目标无法受到伤害及治疗，持续8秒，该状态将在目标被“阳明指”“玉石俱焚”造成伤害之前结束。对友方施展时持续时间减半。,30737,2
万花,花间游,12,天工甲士,持续运功5秒组装天工甲士，随后激活二段招式“天工”操纵天工甲士，每次操纵时间最多持续30秒。天工甲士无法受到治疗，其气血值耗尽时会损坏并使操纵者脱离。当场上存在自身损坏的天工甲士时，“天工甲士”无需运功并使其自我修复5秒。若主动离开天工甲士则记录离开时天工甲士的气血值，25秒后可以再次使用“天工”并继承离开时天工甲士的气血值。,28465,3
万花,花间游,12,南风吐月,可对团队友方目标施展，清除其所有移动限制和不利效果且不会受到攻击但效果期间无法移动，持续8秒。,14965,4
万花,花间游,12,洛川神韵,挥洒墨笔，对目标侠士造成<SUB 24920 0>混元内功伤害，并溅射其周围10尺内的一位敌方侠士造成<SUB 24920 0>混元内功伤害，使其被墨迹相连，持续10秒。墨迹相连期间，两者也会同样受到对方受到的伤害的20%。若两者相距超过12尺则墨迹炸裂，造成<SUB 24923 0>混元内功伤害并且无法施展招式，持续4秒。,24919,5
少林,易筋经,1,涅果,“普渡四方”伤害提高10%。,5896,1
少林,易筋经,1,明法,“普渡四方”可叠加的“普渡”效果提高到3层。“韦陀献杵”使目标获得“普渡”效果。,6589,2
少林,易筋经,1,秉心,任意顺序施展“捕风式”“守缺式”“捉影式”后，激活“拿云式”。,6788,3
少林,易筋经,2,幻身,“横扫六合”若只命中一个目标，则在易筋经心法下伤害提高65%，在洗髓经心法下产生的威胁值提高100%。,5910,1
少林,易筋经,2,善心,施展“韦陀献杵”“拿云式”命中附带自身“横扫六合”持续伤害目标时能使下三次持续伤害立即生效。,5912,2
少林,易筋经,2,抱残,“捕风式”命中目标使目标移动速度降低60%，持续12秒。,16897,3
少林,易筋经,3,身意,“守缺式”会心几率提高10%，会心效果提高10%。施展“守缺式”后使自身4秒内会心几率提高5%，会心效果提高5%。,5915,1
少林,易筋经,3,纷纭,施展“千斤坠”后进入“纷纭”10秒，增加15%气血上限，可施展主动招式“千斤坠·无取”和“千斤坠·无舍”。施展“千斤坠”、“千斤坠·无取”、“千斤坠·无舍”每命中一个玩家回复自身5%的气血值。,30913,2
少林,易筋经,3,挂碍,“拿云式”命中目标后，在目标周围6尺引发一次冲击波造成伤害，冲击波依据自身基础体质和敌方目标玩家的差值，使目标获得3秒10—30%的降低加速效果。,37369,3
少林,易筋经,3,抢珠式,打断目标运功，使其<BUFF 445 4 desc>，持续<BUFF 445 4 time>。,240,4
少林,易筋经,4,缩地,消耗禅那有50%几率使得下一次攻击附带<SUB 24883 0>阳性内功伤害。,17750,1
少林,易筋经,4,空识,每次自身成功造成拉拽、眩晕、击倒时，使受控目标体质上限降低6500点，持续8秒，该效果最多叠加5层。,38618,2
少林,易筋经,4,无可证,“守缺式”命中敌方玩家时，获得6500点基础体质，最多叠加6层，持续8秒。满层时提供每秒回复1%最大生命值。,37370,3
少林,易筋经,4,布泽,消耗三点禅那施展“拿云式”“韦陀献杵”命中非侠士目标后，获得“布泽”最多3层。下一次“普渡四方”或“韦陀献杵”会消耗一层“布泽”并对非侠士目标附带一次额外伤害。,37455,4
少林,易筋经,5,降魔渡厄,3点禅那施展“韦陀献杵”“拿云式”附带“降魔”效果，使目标受到该招式25%的阳性内功伤害。,5913,1
少林,易筋经,5,意相,“无相诀”可在“眩晕”、“定身”状态下释放，自身气血值每低于10%，减伤效果增加5%，减伤效果最多增加至90%。,14793,2
少林,易筋经,5,静色,“捉影式”变为2层充能技能，25秒充能时间。战斗状态下“捉影式”处于调息状态，4秒内未施展任何伤害招式，则使“捉影式”调息时间降低3秒。,14758,3
少林,易筋经,5,法身,“守缺式”、“拿云式”造成伤害时，依据和目标侠士的体质差值造成额外伤害、回复自身气血值。,37371,4
少林,易筋经,6,狮啸,“大狮子吼”不再附带控制效果，生成一个半径10尺的阵法，使自身当前气血及气血最大值提高150%，阵法内的队友受到的伤害的99%传递给自身，期间可施展二段招式结束阵法。少林自身不可移动，调息时间50秒。,18623,1
少林,易筋经,6,系珠,“擒龙诀”变为3层充能效果，25秒充能时间，其增益效果持续9秒。,14750,2
少林,易筋经,6,威服,“大狮子吼”释放后留下一只金刚狮子在原地释放吼叫，每3秒对附近8尺最多5个目标造成眩晕2秒效果，持续9秒。,38621,3
少林,易筋经,6,金刚怒目,施展“罗汉金身”使自身内功基础攻击提高30%。,17730,4
少林,易筋经,7,净果,“拿云式”命中血量低于30%的目标伤害提高15%。施展内功伤害招式有30%几率获得“拿云”效果:使自身无视目标气血百分比可立刻施展“拿云式”，最多可叠加3层。,6590,1
少林,易筋经,7,无量波罗,“摩诃无量”招式有效距离提高4尺，若成功控制目标使目标无法施展轻功持续3秒，命中带有自身“普渡”效果的目标，每层“普渡”使击倒和封轻功效果提高1秒。,6587,2
少林,易筋经,7,独觉,“锻骨诀”施展后使自身不受外功伤害影响，持续4秒。,14795,3
少林,易筋经,7,无色,“无相诀”调息时间降低15秒，不再附带减伤效果，反弹受到的70%伤害，效果不会被卸除，持续10秒。,5934,4
少林,易筋经,8,明王身,基础气血上限提高20%。,5930,1
少林,易筋经,8,妙法,“千斤坠”变为2层充能，施展“千斤坠”解除自身锁足、减速效果，自身不受招式控制（击退和被拉除外），持续4秒。,6595,2
少林,易筋经,8,三生,每点禅那增加自身10%无双等级，最多增加30%。,6586,3
少林,易筋经,8,清心,施展“舍身诀”，则召唤一尊佛像为目标承担伤害，最多可承受自身50%气血最大值，且每3秒卸除友方目标阳性、阴性、混元、毒性不利效果各两个。,16894,4
少林,易筋经,8,我闻,“横扫六合”调息时间降低3秒，会心几率提高10%，会心效果提高20%，持续伤害可以叠加3层。“横扫六合”每多命中一个目标，调息时间降低1秒。,24884,5
少林,易筋经,9,非梵,“舍身诀”减伤效果提高至50%，若效果期间自身血量低于1%则自身化为舍利子，可被攻击，持续5秒，5秒内若舍利子未被打破则回复自身20%气血最大值与20%内力最大值，若打破则死亡。,14757,1
少林,易筋经,9,众嗔,施展“守缺式”、“韦陀献杵”、“拿云式”命中“横扫六合”持续伤害的目标伤害提高20%。,6596,2
少林,易筋经,9,菩提身,“擒龙诀”期间，禅那值上限提升到6个，每有一个禅那点，每1.5秒恢复0.35%气血最大值。,6580,3
少林,易筋经,9,尘息,“守缺式”使目标被疗伤效果减低25%，持续12秒，可叠加2层。,16886,4
少林,易筋经,9,诸行,“千斤坠”施展后使得接下来5次跳跃，落地短暂延迟后将会对6尺范围最多5个目标造成<SUB 24886 0>阳性内功伤害。跳跃在空中时间越长，下次下落伤害越高，范围越大。,24885,5
少林,易筋经,10,善护,当气血值低于70%时被攻击则获得“善护”气劲，使自身受到伤害降低20%，持续5秒。,5909,1
少林,易筋经,10,正念,“擒龙诀”期间获得“正念”效果：使自身移动速度降低30%，无法受到其它减速效果影响。“罗汉棍法”距离增加2尺且伤害提高40%，“捉影式”前两次施展无调息。,38623,2
少林,易筋经,10,华香,“伏魔”状态下造成伤害无视目标60%内功防御。,38957,3
少林,易筋经,10,轮回诀,重伤倒地后方可施展，救治自身并使自身恢复15%(<SKILLEx {D0} {MaxLife 0.15}>点)气血值最大值与15%(<SKILLEx {D0} {MaxMana 0.15}>点)内力最大值，重伤起身后4秒内受到的伤害降低80%。<TALENT 5907 1 重置“达摩武诀”套路下其他招式的调息时间><TALENT 5908 1 重伤起身后小队成员的基础气血上限提高10%，持续10秒，并回复10%的气血>,259,4
少林,易筋经,10,无执,战斗中无法使用武器、无法运功效果期间每秒获得获得1秒“宿缘”效果，自身移动速度提高20%且免疫减速，“龙爪功”套路招式公共调息时间降低至1秒。,32647,5
少林,易筋经,11,明澈,施展“擒龙诀”，自身“禅意”将守护自身，“禅意”会每1秒对10尺范围的一个目标造成<SUB 21700 0>阳性内功伤害，并会优先以攻击自身的目标作为对象。且当“禅意”和自身攻击同一个对象时，“禅意”的该次攻击会变成4尺范围的伤害和减速效果。“禅意”持续10秒。,21697,1
少林,易筋经,11,五识,“罗汉金身”反弹效果提高50%，效果期间受到伤害有10%几率使自身回复5%气血最大值。,14752,2
少林,易筋经,11,缘觉,消耗三点禅那施展“拿云式”，施展距离提高至15尺并附带冲刺效果，造成伤害提高20%。,21703,3
少林,易筋经,11,金刚日轮,在“千斤坠”产生的“金刚日轮阵”中，施展“龙爪功”套路伤害招式附带一次伤害。,32648,4
少林,易筋经,11,趺坐,“罗汉金身”效果持续期间，自身被外功伤害命中时，会心几率提高1%，御劲提高1%，持续6秒，最多叠加10层。,25063,5
少林,易筋经,12,无诤,“横扫六合”调息时间增加至20秒。施展“横扫六合”后重置“守缺式”调息时间，下次“守缺式”释放距离提高至15尺并附带冲刺效果，期间使棍子围绕自身旋转，持续9秒。期间对周围四尺最多5个目标每秒造成<SUB 28542 0>阳性内功伤害，无法使用武器，施展“守缺式”后激活“拿云式”。可施展二段招式结束无法使用武器状态。,32649,1
少林,易筋经,12,心诤,持续舞棍3秒，过程免疫全部控制效果。持续左右交替挥舞手中棍棒六次，每次舞棍都将提高自身15%阳性会心率，对6尺180度范围内最多5个目标造成中等伤害，每次造成伤害自身获得1层“讼言”，最多30层。每层“讼言”提高“心诤·扫击”3%造成的伤害。舞棍结束后打出一次12尺范围终结扫击并消耗全部“讼言”。,29191,2
少林,易筋经,12,普度临凡,向15尺内目标点方向丢出一尊佛像，并激活二段招式“朝参暮礼”：对目标施展后将目标周围6尺范围内距离佛像不超过20尺的最多5个目标拉向佛像。,37372,3
少林,易筋经,12,业因,“二业依缘”调息时间调整为60秒。切换“袈裟”状态后，下一次施展“守缺式”“横扫六合”无调息，施展后重置“二业依缘”调息时间，并记录为“业因”。切换“伏魔”时将“业因”转化为4层“果报”。每次施展“韦陀献杵”“拿云式”时消耗一层“果报”并且额外回复一点禅那，“业因”为“守缺式”则招式对非侠士目标造成额外伤害，“业因”为“横扫六合”时招式对非侠士目标造成范围伤害。,32651,4
少林,易筋经,12,醍醐灌顶,回复1点“禅那”，免疫控制效果1.5秒，降低自身“擒龙诀”20%调息时间。自身和禅灵都挥棍对自身前方12尺范围最多5个目标造成<SUB 24888 0>阳性内功伤害，伤害命中目标使其眩晕2秒并降低自身“千斤坠”1.5秒调息时间。,24819,5
少林,洗髓经,1,因果,“普渡四方”附带20%的额外威胁值。,5941,1
少林,洗髓经,1,不垢,受到攻击有30%几率提高自身基础气血2%，持续20秒，最多叠加10层。,5923,2
少林,洗髓经,1,执迷不返,“摩诃无量”释放距离提高4尺，调息时间降低5秒，附带大量威胁值，并强制目标攻击少林自身。,5919,3
少林,洗髓经,2,大明,3点禅那施展“韦陀献杵”命中目标后，自身受到下两次攻击的伤害降低30%，持续6秒。,5922,1
少林,洗髓经,2,幻身,“横扫六合”若只命中一个目标，则在易筋经心法下伤害提高65%，在洗髓经心法下产生的威胁值提高100%。,5910,2
少林,洗髓经,2,取法,被疗伤招式命中后，若自身气血值高于60%，则自身被疗伤成效提高2%，持续10秒，可以叠加12层。,6790,3
少林,洗髓经,3,普心,“普渡四方”对目标6尺范围内额外2个目标造成伤害。,16890,1
少林,洗髓经,3,无尘,“横扫六合”每命中一个目标，使自身受到伤害降低10%，可叠加3层，持续6秒。,5932,2
少林,洗髓经,3,大觉,“横扫六合”命中目标后，自身的气血上限提高20%，持续5秒。,5931,3
少林,洗髓经,3,抢珠式,打断目标运功，使其<BUFF 445 4 desc>，持续<BUFF 445 4 time>。,240,4
少林,洗髓经,4,缩地,消耗禅那有50%几率使得下一次攻击附带<SUB 24883 0>阳性内功伤害。,17750,1
少林,洗髓经,4,固法,“舍身诀”施展后立刻重置自身“无相诀”的调息时间。,6783,2
少林,洗髓经,4,断灭,“韦陀献杵”命中目标后，对目标周围6尺范围内最多5个目标造成阳性内功伤害。伤害与消耗的禅那有关。该效果不受到“韦陀献杵”秘籍的影响。,5899,3
少林,洗髓经,4,归去来棍,对20尺内的单一目标及其周围2个目标造成200%武器伤害，以及额外的阳性内功伤害，产生大量威胁并强制目标攻击自身。,2589,4
少林,洗髓经,5,色空体,“罗汉金身”持续前5秒，反弹受到的20%伤害。,5926,1
少林,洗髓经,5,禅语,“大狮子吼”施展后，自身每2300点基础体质使团队成员气血上限提高1760点，最多100层。持续15秒。,5939,2
少林,洗髓经,5,生缘,内功和外功防御等级提高20%。,5921,3
少林,洗髓经,5,深行,“横扫六合”每多命中一个目标，调息时间降低1.5秒。,6579,4
少林,洗髓经,6,离境,战斗状态中，若自身气血值大于80%，则造成的威胁值提高30%，造成伤害提高10%。,5927,1
少林,洗髓经,6,涅果,“普渡四方”使下一招威胁值提高30%，并获得一点禅那。,5929,2
少林,洗髓经,6,不动,施展“无相诀”后，不受任何伤害，也无法行动，持续3秒。,5938,3
少林,洗髓经,6,立地成佛,需禅那点，对目标造成大量威胁，最少一点禅那使周围5尺内最多5个目标<BUFF 564 0 desc>，最多三点禅那使周围5尺内最多5个目标<BUFF 566 0 desc>，此效果最多可叠五层，持续<BUFF 566 0 time>。,246,4
少林,洗髓经,7,不畏,“般若诀”调息时间提高到15秒，施展后使自身受到的内功伤害降低30%，外功防御等级提高30%，持续15秒。,17745,1
少林,洗髓经,7,狮啸,“大狮子吼”不再附带控制效果，生成一个半径10尺的阵法，使自身当前气血及气血最大值提高150%，阵法内的队友受到的伤害的99%传递给自身，期间可施展二段招式结束阵法。少林自身不可移动，调息时间50秒。,18623,2
少林,洗髓经,7,天龙音,“大狮子吼”附带大量威胁值并使团队所有成员回复3%气血最大值。,5925,3
少林,洗髓经,7,无想,“无相诀”调息时间降低15秒，不再附带减伤效果，反弹受到的50%伤害，效果不会被卸除，持续10秒。,31905,4
少林,洗髓经,8,明王身,基础气血上限提高20%。,5930,1
少林,洗髓经,8,千钧,“千斤坠”每命中一个目标，自身内功和外功防御等级提高5%，可叠加4层，持续6秒。,5935,2
少林,洗髓经,8,禅临,“千斤坠”充能两层，施展“千斤坠”使得目标强制攻击自身，持续4.5秒。,5936,3
少林,洗髓经,8,清心,施展“舍身诀”，则召唤一尊佛像为目标承担伤害，最多可承受自身50%气血最大值，且每3秒卸除友方目标阳性、阴性、混元、毒性不利效果各两个。,16894,4
少林,洗髓经,8,明法,“普渡四方”可叠加的“普渡”效果提高到3层。“韦陀献杵”使目标获得“普渡”效果。,6589,5
少林,洗髓经,9,无量,受到伤害有50%几率回复自身5%内力，每3秒最多触发1次。,6591,1
少林,洗髓经,9,明心,受到攻击使自身气血低于40%，立即回复20%气血并使自身基础气血上限提高20%，持续10秒，每40秒触发1次。,5933,2
少林,洗髓经,9,系珠,“擒龙诀”变为3层充能效果，25秒充能时间，其增益效果持续9秒。,14750,3
少林,洗髓经,9,心执,受到攻击使自身气血值低于40%，则该次伤害降低20%。,16899,4
少林,洗髓经,9,诸行,“千斤坠”施展后使得接下来5次跳跃，落地短暂延迟后将会对6尺范围最多5个目标造成<SUB 24886 0>阳性内功伤害。跳跃在空中时间越长，下次下落伤害越高，范围越大。,24885,5
少林,洗髓经,10,舍利心,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，当气血值高于40%时该效果维持8秒后消失。,6789,1
少林,洗髓经,10,真如,施展“无相诀”使自身气血上限提高20%，并立即回复自身20%的气血，随后每秒恢复2%气血，持续10秒。,5901,2
少林,洗髓经,10,镇魔,“大狮子吼”命中目标后，最少1点禅那使目标的攻击降低5%，最多3点禅那使目标的攻击降低15%，持续6秒。,5940,3
少林,洗髓经,10,轮回诀,重伤倒地后方可施展，救治自身并使自身恢复15%(<SKILLEx {D0} {MaxLife 0.15}>点)气血值最大值与15%(<SKILLEx {D0} {MaxMana 0.15}>点)内力最大值，重伤起身后4秒内受到的伤害降低80%。<TALENT 5907 1 重置“达摩武诀”套路下其他招式的调息时间><TALENT 5908 1 重伤起身后小队成员的基础气血上限提高10%，持续10秒，并回复10%的气血>,259,4
少林,洗髓经,10,七宝,“洗髓经”心法也可以施展“拿云式”，受到伤害时有35%几率使自身无视目标气血百分比，可立刻施展“拿云式”。释放“拿云式”额外回复一点禅那。,24891,5
少林,洗髓经,11,意相,“无相诀”可在“眩晕”、“定身”状态下释放，自身气血值每低于10%，减伤效果增加5%，减伤效果最多增加至90%。,14793,1
少林,洗髓经,11,禅慧,“罗汉金身”会返还消耗的禅那，“罗汉金身”效果期间自身体质的30%转换为阳性内功攻击且受到伤害有10%几率使自身回复5%气血最大值。,23972,2
少林,洗髓经,11,慧致,施展“擒龙诀”，每0.5秒使自身基础内外功防御等级提高3%，最高可叠加10层，持续10秒。,14794,3
少林,洗髓经,11,独觉,“锻骨诀”施展后使自身不受外功伤害影响，持续4秒。,14795,4
少林,洗髓经,11,大善,3点禅那施展“韦陀献杵”，使得自身“破招”提高10%，此效果持续15秒，最多叠加5层。,25353,5
少林,洗髓经,12,非梵,“舍身诀”减伤效果提高至50%，若效果期间自身血量低于1%则自身化为舍利子，可被攻击，持续5秒，5秒内若舍利子未被打破则回复自身20%气血最大值与20%内力最大值，若打破则死亡。,14757,1
少林,洗髓经,12,佛果,“舍身诀”效果期间，目标受到伤害有50%几率为自身回复5%气血最大值。,14796,2
少林,洗髓经,12,摩咭,“无相诀”减伤效果结束时若自身气血值仍低于50%，回复自身20%气血值，并额外获得80%减伤效果，持续3秒。,14761,3
少林,洗髓经,12,舍身弘法,可对团队成员施展，每2300点基础体质使目标无双等级提高660点、基础疗伤成效提高200点，最多100层。承担其受到的所有伤害，且期间目标造成的仇恨值全部转移到自身，并使自身气血最大值提高20%，持续20秒。,15195,4
少林,洗髓经,12,醍醐灌顶,回复1点“禅那”，免疫控制效果1.5秒，降低自身“擒龙诀”20%调息时间。自身和禅灵都挥棍对自身前方12尺范围最多5个目标造成<SUB 24888 0>阳性内功伤害，伤害命中目标使其眩晕2秒并降低自身“千斤坠”1.5秒调息时间。,24819,5
藏剑,问水诀,1,淘尽,“夕照雷峰”会心提高10%，会心效果提高10%。,5953,1
藏剑,问水诀,1,烧石,“鹤归孤山”会心几率提高10%，会心效果提高10%。,5951,2
藏剑,问水诀,1,风吹荷,强制目标攻击自身，并使自身获得3层持续3秒的“风吹荷”效果：闪避几率提高100%，闪避1次攻击后消失（每0.5秒最多消失1层）。,1665,3
藏剑,问水诀,2,绝顶,“云飞玉皇”的伤害提高10%。,6533,1
藏剑,问水诀,2,清风,“云飞玉皇”的会心几率提高10%，会心效果提高10%。,5954,2
藏剑,问水诀,2,峰聚,“黄龙吐翠”调息时间降低1秒，伤害提高70%，施展后使下一个“九溪弥烟”会造成三段<SUB 26674 32>外功伤害。,26672,3
藏剑,问水诀,3,夜雨,“夕照雷峰”的伤害提高15%，会心后使自身下一个“云飞玉皇”无需运功且造成破招伤害提高20%。,5955,1
藏剑,问水诀,3,山岳乘风,山居剑意下可施展，最多蓄力3秒，期间自身移动速度降低50%并完全抵挡受到的内外功伤害。每蓄力0.5秒回复10点剑气，蓄力后释放反击招式对前方8尺最多5个敌方目标造成最多<SUB 36275 3>外功伤害附带200%武器伤害，蓄力1.5至2.5秒期间释放则继续发动旋风般的重剑攻击（伤害视作“风来吴山”），持续2.5秒。,36274,2
藏剑,问水诀,3,岱宗,“云飞玉皇”可移动施展，命中非侠士目标后造成<SUB 34984 1>外功伤害并使自身获得一层“岱宗”效果：每层使自身会心效果提高8%，持续15秒，最多可叠加3层。,5952,3
藏剑,问水诀,3,惊涛,消耗10点剑气，对其造成<SUB 1709 0>外功伤害，附加额外200%武器伤害，并使目标<BUFF 1720 0 desc>，持续<BUFF 1720 0 time>。“山居剑意”下施展使目标定身3秒。<TALENT 5961 1 “山居剑意”下施展后使目标定身，持续3秒><TALENT 5962 1 不消耗剑气><TALENT 23922 1 控制效果持续时间增加1秒>,1647,4
藏剑,问水诀,4,凭风,“问水诀”下施展“啸日”，每秒回复2%气血最大值，持续8秒。“山居剑意”下施展“啸日”，自身身法提高30%，移动速度提高15%，持续15秒，该气劲只可在“问水诀”心法下维持。,14604,1
藏剑,问水诀,4,残雪,“莺鸣”持续期间额外提高自身15%基础外功攻击。,6549,2
藏剑,问水诀,4,斩岳,“峰插云景”成功命中目标则立刻重置“云飞玉皇”“鹤归孤山”调息时间。,6537,3
藏剑,问水诀,4,摘星,“平湖断月”可以在基础调息时间中施展，施展距离提高5尺，命中运功中的目标使其眩晕3秒。,18309,4
藏剑,问水诀,5,映波锁澜,“山居剑意”下“听雷”伤害提高10%，命中目标后使自身下两次“夕照雷峰”“云飞玉皇”会心几率及招式伤害提高15%。,5959,1
藏剑,问水诀,5,冰天,自身闪避后，可为自身添加一层“冰天”效果，最多三层，持续12秒。效果期间自身若触发“断潮”则消耗一层“冰天”并使得“断潮”伤害额外提高80%。,28578,2
藏剑,问水诀,5,气爽,“泉凝月”每点身法化解的伤害提升70%，化解量衰减速度降低一倍。,6541,3
藏剑,问水诀,5,造化,战斗状态下自身剑气高于50点施展“夕照雷峰”“云飞玉皇”，剑气消耗降低2点，招式伤害提高10%。若剑气高于75点施展“夕照雷峰”“云飞玉皇”，则招式伤害提高至15%。,5964,4
藏剑,问水诀,6,莺语,“梦泉虎跑”每次命中目标则在目标位置生成剑魂，最多5个存在12秒，山居剑意下施展“云飞玉皇”命中目标或施展“莺鸣柳”可引发剑魂共鸣延迟攻击目标，每把造成100%武器伤害附带<SUB 34710 1>外功伤害并降低“莺鸣柳”1秒调息时间。,21737,1
藏剑,问水诀,6,云台,施展招式“鹤归孤山”后5秒内自身身法提高10%且每点身法化解20点伤害，当周围30尺敌对玩家人数大于等于6人时，每点身法化解80点伤害；命中目标则击倒3秒。,18326,2
藏剑,问水诀,6,怜光,“梦泉虎跑”不再附带减伤效果，“山居剑意”下所有招式伤害提高10% 。,5957,3
藏剑,问水诀,6,云体,“梦泉虎跑”期间减伤效果提高35%，施展“听雷”可以额外造成<SUB 14609 33>外功伤害。,6544,4
藏剑,问水诀,7,层云,“风来吴山”伤害每跳递增10%，最多递增5次。施展期间，无需自身旋转，而是使剑芒在自身当前位置维持，并可以通过“峰插云景”击退自身和敌对的剑芒。,6545,1
藏剑,问水诀,7,逍遥,自身控制招式持续效果（减速除外）提高1秒，若成功控制目标则武器伤害提高50%，持续6秒最多强化3次。,23922,2
藏剑,问水诀,7,山色,“风来吴山”变为2层透支招式，透支充能时间1分20秒，持续时间降低1.5秒，只能攻击3个目标，攻击频率提高33%。,5956,3
藏剑,问水诀,7,景行,“九溪弥烟”调息时间增加至24秒，施展“九溪弥烟”后立即造成<SUR 0.8>点破招伤害并在原地产生4尺“剑泽”效果，“剑泽”内敌对目标移动速度降低80%，持续过程中每1秒对范围内的5个目标造成<SUB 18685 32>伤害，持续24秒。,18682,4
藏剑,问水诀,8,遥看,“夕照雷峰”可对目标半径8尺内额外4个目标造成伤害。,5960,1
藏剑,问水诀,8,撼岳,“听雷”会心几率提高10%，会心效果提高10%， 命中目标后，使目标获得“惊雷”效果：每次受到添加者的“风来吴山”伤害则会触发一道惊雷受到<SUB 29129 1>外功伤害，持续10秒。,29090,2
藏剑,问水诀,8,危峦,“峰插云景”施展距离提高2尺，不再消耗剑气，击退目标后使其锁足1秒。,30772,3
藏剑,问水诀,8,澜涌,“玉泉鱼跃”调息时间降低5秒，每段冲刺距离提高3尺并回复自身10点剑气。,30298,4
藏剑,问水诀,8,山倾,“鹤归孤山”伤害扩散结束后会生成一个半径10尺的“九皋鹤野”区域，持续5.5秒，在区域内施展“夕照雷峰”“云飞玉皇”会形成落剑造成<SUB 32967 1>外功伤害附加200%武器伤害并降低2秒“云飞玉皇”调息时间。,30862,5
藏剑,问水诀,9,云石,“鹤归孤山”伤害提高70%，命中50%以上气血的目标时，将额外造成<SUB 30771 0>外功伤害。,25014,1
藏剑,问水诀,9,山重水复,在地面施展“风来吴山”时，每命中一个目标减少5秒调息时间并恢复自身3%气血最大值，该效果最多作用6次。若施展时周围20尺内敌对侠士目标少于等于5人，该效果可额外作用4次。,6542,2
藏剑,问水诀,9,雾锁,“夕照雷峰”命中目标使自身无视目标45%外功防御等级，持续7秒。,6534,3
藏剑,问水诀,9,霞流宝石,立即对周围6尺内的最多10个目标均造成<SUB 1611 0>外功伤害并卸除其阳性、混元性、阴性、毒性气劲各一个，附加额外100%武器伤害，并使其4秒内无法使用武器。<TALENT 2746 1 剑气消耗降低3点，招式的有效目标人数增加2个><TALENT 2746 2 剑气消耗降低6点，招式的有效目标人数增加4个><TALENT 2753 1 伤害提高5%，会心几率提高3%><TALENT 2753 2 伤害提高10%，会心几率提高6%>,1610,4
藏剑,问水诀,9,解甲释兵,对目标造成100%武器伤害附加<SUB 32942 1>外功伤害并使目标获得“曳兵”效果：造成的伤害和治疗效果降低30%，持续10秒。对“曳兵”效果的目标施展该招式，则升级“曳兵”效果使敌方招式造成的伤害和治疗效果降低100%，持续5秒。<TALENT 5957 1 “山居剑意”心法下伤害提高10%>,32915,5
藏剑,问水诀,10,碧归,“风来吴山”不再消耗剑气，每命中一个目标回复5点剑气并使目标移动速度降低30%，持续5秒。该效果每累计回复10点剑气，可使下一次施展其余“灵峰剑式”伤害提高30%，该效果最多叠加4层，持续9秒。,6548,1
藏剑,问水诀,10,长晖,“夕照雷峰”伤害提高10%，若目标在4尺外12尺内则附带冲刺效果。,38674,2
